"sample_time","INV01 - PowerActive - kW","INV01 - Temperature - °C","INV01 - Voltage - V","INV02 - PowerActive - kW","INV02 - Temperature - °C","INV02 - Voltage - V","INV03 - PowerActive - kW","INV03 - Temperature - °C","INV03 - Voltage - V","INV04 - PowerActive - kW","INV04 - Temperature - °C","INV04 - Voltage - V","INV05 - PowerActive - kW","INV05 - Temperature - °C","INV05 - Voltage - V","INV06 - PowerActive - kW","INV06 - Temperature - °C","INV06 - Voltage - V","INV07 - PowerActive - kW","INV07 - Temperature - °C","INV07 - Voltage - V","INV08 - PowerActive - kW","INV08 - Temperature - °C","INV08 - Voltage - V","INV09 - PowerActive - kW","INV09 - Temperature - °C","INV09 - Voltage - V"
"1/2/2021 0:00","0","35.039999389648","0","0","34.260000610351","0","0","34.720000457764","0","0","34.3","0","0","33.659999847412","0","0","35.079998779297","0","0","40.019999694824","0","0","32.200000762939","0","0","34.800000762939","0"
"1/2/2021 0:05","0","34.779999542236","0","0","34.1","0","0","34.700000762939","0","0","34.200000762939","0","0","33.559999084473","0","0","34.859999847412","0","0","39.960000610351","0","0","32.079999542236","0","0","34.619999694824","0"
"1/2/2021 0:10","0","34.700000762939","0","0","34","0","0","34.619998931885","0","0","34.080000305176","0","0","33.319999694824","0","0","34.720000457764","0","0","39.900001525879","0","0","31.819999313354","0","0","34.459999847412","0"
"1/2/2021 0:15","0","34.6","0","0","33.780000305176","0","0","34.579998779297","0","0","34","0","0","33.240000152588","0","0","34.6","0","0","39.700000762939","0","0","31.720000457764","0","0","34.319999694824","0"
"1/2/2021 0:20","0","34.519999694824","0","0","33.640000152588","0","0","34.319999694824","0","0","33.740000915527","0","0","33.200000762939","0","0","34.5","0","0","39.6","0","0","31.700000762939","0","0","34.260000610351","0"
"1/2/2021 0:25","0","34.480000305176","0","0","33.559999084473","0","0","34.320000457764","0","0","26.960000610351","0","0","26.520000457764","0","0","27.520000457764","0","0","31.6","0","0","25.360000610351","0","0","27.360000610351","0"
"1/2/2021 0:30","0","34.240000915527","0","0","33.419999694824","0","0","34.200000762939","0","0","33.639999389648","0","0","33","0","0","34.200000762939","0","0","39.5","0","0","31.700000762939","0","0","34.200000762939","0"
"1/2/2021 0:35","0","34.200000762939","0","0","33.319999694824","0","0","34.160000610352","0","0","33.579998779297","0","0","33","0","0","34.200000762939","0","0","39.4","0","0","31.680000686645","0","0","34.200000762939","0"
"1/2/2021 0:40","0","34.159999847412","0","0","33.320000457764","0","0","34","0","0","33.559999084473","0","0","32.840000152588","0","0","34.099999237061","0","0","39.200000762939","0","0","31.5","0","0","34.160000610352","0"
"1/2/2021 0:45","0","34.079998779297","0","0","33.200000762939","0","0","33.9","0","0","33.439999389648","0","0","32.700000762939","0","0","34.079998779297","0","0","39.1","0","0","31.5","0","0","34","0"
"1/2/2021 0:50","0","34.079998779297","0","0","33.140000152588","0","0","33.700000762939","0","0","33.319999694824","0","0","32.579998779297","0","0","33.840000152588","0","0","39","0","0","31.340000152588","0","0","33.9","0"
"1/2/2021 0:55","0","33.859999847412","0","0","33","0","0","33.639999389648","0","0","33.280000305176","0","0","32.559999084473","0","0","33.820000457764","0","0","38.920001220703","0","0","31.200000762939","0","0","33.700000762939","0"
"1/2/2021 1:00","0","33.819999694824","0","0","33","0","0","33.559999084473","0","0","33.200000762939","0","0","32.340000152588","0","0","33.700000762939","0","0","38.900001525879","0","0","31.120000457764","0","0","33.700000762939","0"
"1/2/2021 1:05","0","33.79999923706","0","0","33","0","0","33.599998474121","0","0","33.200000762939","0","0","32.29999923706","0","0","33.700000762939","0","0","38.900001525879","0","0","31.200000762939","0","0","33.700000762939","0"
"1/2/2021 1:10","0","33.720000457764","0","0","33","0","0","33.579998779297","0","0","33.200000762939","0","0","32.319999694824","0","0","33.700000762939","0","0","38.900001525879","0","0","31.200000762939","0","0","33.700000762939","0"
"1/2/2021 1:15","0","33.700000762939","0","0","33","0","0","33.559999084473","0","0","33.200000762939","0","0","32.319999694824","0","0","33.700000762939","0","0","38.900001525879","0","0","31.180000686645","0","0","33.659999847412","0"
"1/2/2021 1:20","0","33.6","0","0","32.740000915527","0","0","33.539999389648","0","0","33","0","0","32.319999694824","0","0","33.700000762939","0","0","38.860001373291","0","0","31.10000038147","0","0","33.579998779297","0"
"1/2/2021 1:25","0","33.559999084473","0","0","32.700000762939","0","0","33.319999694824","0","0","33","0","0","32.220000457764","0","0","33.519999694824","0","0","38.700000762939","0","0","31.10000038147","0","0","33.459999847412","0"
"1/2/2021 1:30","0","33.480000305176","0","0","32.660000610352","0","0","33.340000152588","0","0","32.9","0","0","32.200000762939","0","0","33.5","0","0","38.6","0","0","30.819999313354","0","0","33.319999694824","0"
"1/2/2021 1:35","0","33.340000152588","0","0","32.579998779297","0","0","33.240000152588","0","0","32.700000762939","0","0","32.040000152588","0","0","33.220000457764","0","0","38.5","0","0","30.740000152588","0","0","33.260000610351","0"
"1/2/2021 1:40","0","33.200000762939","0","0","32.559999084473","0","0","33.200000762939","0","0","32.700000762939","0","0","32","0","0","33.059999084473","0","0","38.5","0","0","30.700000762939","0","0","33.200000762939","0"
"1/2/2021 1:45","0","33.200000762939","0","0","32.479999542236","0","0","33.200000762939","0","0","32.700000762939","0","0","32","0","0","32.680000305176","0","0","38.340000152588","0","0","30.700000762939","0","0","33.200000762939","0"
"1/2/2021 1:50","0","26.560000610352","0","0","25.839999389648","0","0","26.560000610352","0","0","32.700000762939","0","0","32","0","0","32.5","0","0","38.200000762939","0","0","30.700000762939","0","0","33.200000762939","0"
