"sample_time","INV01 - PowerActive - kW","INV01 - Temperature - °C","INV01 - Voltage - V","INV02 - PowerActive - kW","INV02 - Temperature - °C","INV02 - Voltage - V","INV03 - PowerActive - kW","INV03 - Temperature - °C","INV03 - Voltage - V","INV04 - PowerActive - kW","INV04 - Temperature - °C","INV04 - Voltage - V","INV05 - PowerActive - kW","INV05 - Temperature - °C","INV05 - Voltage - V","INV06 - PowerActive - kW","INV06 - Temperature - °C","INV06 - Voltage - V","INV07 - PowerActive - kW","INV07 - Temperature - °C","INV07 - Voltage - V","INV08 - PowerActive - kW","INV08 - Temperature - °C","INV08 - Voltage - V","INV09 - PowerActive - kW","INV09 - Temperature - °C","INV09 - Voltage - V"
"1/1/2021 0:05","0","34.6","0","0","33.29999923706","0","0","33.720000457764","0","0","33","0","0","32.240000152588","0","0","33.5","0","0","38.5","0","0","30.200000762939","0","0","32.79999923706","0"
"1/1/2021 0:10","0","34.360000610351","0","0","33.200000762939","0","0","33.680000305176","0","0","33","0","0","32.200000762939","0","0","33.340000152588","0","0","38.5","0","0","30.200000762939","0","0","32.79999923706","0"
"1/1/2021 0:15","0","34.200000762939","0","0","33.200000762939","0","0","33.5","0","0","33","0","0","32.200000762939","0","0","33.200000762939","0","0","38.359999847412","0","0","30.459999847412","0","0","32.79999923706","0"
"1/1/2021 0:20","0","34.200000762939","0","0","33.080000305176","0","0","33.5","0","0","33","0","0","32.200000762939","0","0","33.200000762939","0","0","38.5","0","0","30.5","0","0","32.880000305176","0"
"1/1/2021 0:25","0","34.200000762939","0","0","33","0","0","33.5","0","0","33","0","0","32.200000762939","0","0","33.459999847412","0","0","38.5","0","0","30.680000686645","0","0","33.099998474121","0"
"1/1/2021 0:30","0","34.200000762939","0","0","33.1","0","0","33.680000305176","0","0","33.040000152588","0","0","32.200000762939","0","0","33.5","0","0","38.5","0","0","30.720000457764","0","0","33.200000762939","0"
"1/1/2021 0:35","0","34.180000305176","0","0","33","0","0","33.700000762939","0","0","33.200000762939","0","0","32.200000762939","0","0","33.5","0","0","38.5","0","0","30.799999237061","0","0","33.200000762939","0"
"1/1/2021 0:40","0","34.099999237061","0","0","33","0","0","33.700000762939","0","0","33.040000152588","0","0","32.200000762939","0","0","33.5","0","0","38.5","0","0","30.799999237061","0","0","33.200000762939","0"
"1/1/2021 0:45","0","34.079998779297","0","0","33","0","0","33.700000762939","0","0","33","0","0","32.200000762939","0","0","33.5","0","0","38.5","0","0","30.799999237061","0","0","33.200000762939","0"
"1/1/2021 0:50","0","34.059999084473","0","0","33","0","0","33.620000457764","0","0","33","0","0","32.200000762939","0","0","33.5","0","0","38.5","0","0","30.799999237061","0","0","33.200000762939","0"
